,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time,pitch
0,talk,0.2,0.36,0.1599999999999999,0.02,0,4,0.03999999999999997,0.17751112118878185,0.020000000000000018,0.28,180.38372723999714
1,about,0.38,0.6,0.2199999999999999,0.06,0,5,0.04399999999999998,0.34796868834604316,0.06000000000000005,0.49,223.593933398679
2,what,0.66,0.84,0.1799999999999999,0.14,0,4,0.04499999999999998,0.2904663137894595,0.14,0.75,196.80804311520643
3,what,0.98,1.18,0.1999999999999999,0.1,0,4,0.049999999999999975,0.23748848481756257,0.10000000000000009,1.08,186.6129164692825
4,talk,1.28,1.6,0.32,0.0999999999999998,0,4,0.08,0.11446832685069291,0.09999999999999987,1.44,121.26122128413573
5,americans,1.7,2.62,0.9200000000000002,0.2999999999999998,0,9,0.10222222222222224,0.2137543458675532,0.2999999999999998,2.16,184.9485721475349
6,believe,2.92,3.4,0.48,0.06,0,7,0.06857142857142857,0.1495524775265421,0.06000000000000005,3.16,166.75551837942191
7,by,3.46,3.6,0.1400000000000001,0.1,0,2,0.07000000000000005,0.4498663558465138,0.10000000000000009,3.5300000000000002,175.23047053848856
8,way,3.7,3.9,0.1999999999999997,0.02,0,3,0.06666666666666657,0.268912360035257,0.020000000000000018,3.8,168.4091077085276
9,of,3.92,4.0,0.08,0.0599999999999996,0,2,0.04,0.13975903406325843,0.05999999999999961,3.96,163.85268607846285
10,some,4.06,4.2,0.1400000000000005,0.0199999999999995,0,4,0.03500000000000013,0.13970658439560332,0.019999999999999574,4.13,164.17384956137337
11,of,4.22,4.3,0.08,0.0600000000000005,0,2,0.04,0.09926684162894435,0.0600000000000005,4.26,151.06555355489152
12,this,4.36,4.5,0.1399999999999996,0.0599999999999996,0,4,0.0349999999999999,0.16925470373780407,0.05999999999999961,4.43,157.00759160587253
13,polling,4.56,4.98,0.4200000000000008,0.0199999999999995,0,7,0.060000000000000116,0.15953916612452393,0.019999999999999574,4.77,155.71211525936775
14,the,5.0,5.04,0.04,0.0599999999999996,0,3,0.013333333333333334,0.19185514440610987,0.05999999999999961,5.02,168.4090288405093
15,c,5.1,5.2,0.1000000000000005,0.04,0,1,0.1000000000000005,0.18941925772128637,0.040000000000000036,5.15,282.802787439689
16,n,5.24,5.28,0.04,0.0599999999999996,0,1,0.04,0.47850598523518645,0.05999999999999961,5.26,253.42388324849958
17,n,5.34,5.4,0.0600000000000005,0.0599999999999996,0,1,0.0600000000000005,0.3716626325121434,0.05999999999999961,5.37,229.0949658969806
18,polling,5.46,5.86,0.4000000000000003,0.0999999999999996,0,7,0.05714285714285718,0.2700468788550786,0.09999999999999964,5.66,197.61223961817132
19,finding,5.96,6.4,0.4400000000000004,0.04,0,7,0.06285714285714292,0.2563539916108165,0.040000000000000036,6.18,178.7486637362159
20,this,6.44,6.6,0.1599999999999992,0.04,0,4,0.0399999999999998,0.30229347116860406,0.040000000000000036,6.52,166.35459767110797
21,week,6.64,6.78,0.1400000000000005,0.0199999999999995,0,4,0.03500000000000013,0.1697285383094192,0.019999999999999574,6.71,169.70964848597103
22,the,6.8,6.86,0.0600000000000005,0.0599999999999996,0,3,0.020000000000000167,0.2674460436591438,0.05999999999999961,6.83,156.029198038984
23,forty,6.92,7.12,0.2000000000000001,0.04,0,5,0.04000000000000002,0.35485523262447655,0.040000000000000036,7.02,211.5514282676429
24,five,7.16,7.34,0.1799999999999997,0.04,0,4,0.04499999999999992,0.41527221617466753,0.040000000000000036,7.25,179.44028248162488
25,percent,7.38,7.78,0.4000000000000003,0.2999999999999998,0,7,0.05714285714285718,0.20658615817312798,0.2999999999999998,7.58,169.98384596932482
26,you,8.08,8.16,0.08,0.0399999999999991,0,3,0.02666666666666667,0.22904467017020025,0.03999999999999915,8.120000000000001,191.479883145249
27,know,8.2,8.28,0.08,0.0600000000000005,0,4,0.02,0.4630948406885537,0.0600000000000005,8.239999999999998,182.22970134807196
28,survey,8.34,8.72,0.3800000000000008,0.0599999999999987,0,6,0.06333333333333346,0.37828945840456235,0.05999999999999872,8.530000000000001,173.28923343779533
29,believe,8.78,9.0,0.2200000000000006,0.0199999999999995,0,7,0.031428571428571514,0.2969029928531392,0.019999999999999574,8.89,174.74600009993307
30,the,9.02,9.06,0.0400000000000009,0.0599999999999987,0,3,0.013333333333333634,0.3964344707256438,0.05999999999999872,9.04,177.72233745399714
31,present,9.12,9.44,0.3200000000000003,0.08,0,7,0.045714285714285756,0.2740472338436855,0.08000000000000007,9.28,174.86393957828403
32,should,9.52,9.78,0.2599999999999998,0.0600000000000005,0,6,0.0433333333333333,0.4730157246776044,0.0600000000000005,9.649999999999999,251.63508620622164
33,be,9.84,9.94,0.0999999999999996,0.0999999999999996,0,2,0.0499999999999998,0.3316174845390603,0.09999999999999964,9.89,211.3622335939775
